statement_no,debate,night,speaker,speaker_type,timestamp,statement
0,2,1,Tapper,proctor,00:03,"Welcome back to the CNN Democratic Presidential Debate. Candidates, we’re about to begin opening statements, but first overview of the ground rules that your campaigns agreed to earlier this month to ensure a fair debate. As moderators, we will attempt to guide the discussion."
1,2,1,Tapper,proctor,00:17,"You will each receive one minute to answer questions, 30 seconds for responses in rebuttals and 15 additional seconds if a moderator asks for a clarification. The timing lights will remind you of these limits. Please respect that and please refrain from interrupting your fellow candidates during their allotted time."
2,2,1,Tapper,proctor,00:35,A candidate infringing on another candidate’s time will have his or her time reduced. We also want to ask our audience inside the historic Fox theater to remain silent when the candidates are actively debating. The candidates need to be able to hear the questions and hear one another
3,2,1,Bash,proctor,00:52,"Time now for opening statements, you’ll each receive one minute. Governor Steve Bullock, please begin."
4,2,1,Bullock,candidate,00:58,"Thanks Diana. I come from a state where a lot of people voted for Donald Trump. Let’s not kid ourselves. He will be hard to beat. Yet watching that last debate, folks seem more concerned about scoring points or are doing each other with wishlist economics."
5,2,1,Bullock,candidate,01:15,"Then making sure Americans know we hear their voices and it will help their lives. Look, I’m a pro choice, pro union, populist Democrat, that won three elections in a red state. Not by compromising our values, but by getting stuff done. That’s how we win back the places we lost."
6,2,1,Bullock,candidate,01:35,"Showing up, listening, focusing on the challenges of every day Americans. That farmers are getting hit right now by Trump’s trade wars, that teacher work in a second job just to afford her insulin. They can’t wait for revolution. Their problems are on the here and now."
7,2,1,Bullock,candidate,01:55,I’m a progressive. Emphasis on progress and I’m running for president to get stuff done for all of those Americans Washington has left behind.
8,2,1,Bash,proctor,02:04,Marianne Williamson.
9,2,1,Williamson,candidate,02:05,"Thank you. In 1776 our founders brought forth on this planet an extraordinary new possibility. It was the idea that people, no matter who they were, would simply have the possibility of thriving. We have not ever totally actualized this ideal, but at the times when we have done best, we have tried."
10,2,1,Williamson,candidate,02:26,"And when forces have opposed them, generations of Americans have risen up and pushed back against those forces. We did that with abolition and with women’s suffrage and with civil rights and now it is time, a generation of Americans to rise up again."
11,2,1,Williamson,candidate,02:41,"For an amoral economic system has turned short term profits for huge multinational corporations into a false god and this new false god takes precedence over the safety and the health and the wellbeing of we, the American people and the people of the world and the planet on which we live. Conventional politics will not solve this problem because conventional politics is part of the problem. We, the American people must rise up and do what we do best and create a new possibility. Say no to what we don’t want and yes to what we know can be true."
12,2,1,Williamson,candidate,03:17,I’m Marianne Williamson and that’s why I’m running for president.
13,2,1,Bash,proctor,03:20,Congressman John Delaney.
14,2,1,Delaney,candidate,03:22,"Folks, we have a choice. We can go down the road that Senator Sanders and Senator Warren want to take us with bad policies like Medicare for All, free everything and impossible promises that’ll turn off independent voters and get Trump reelected. That’s what happened with McGovern. That’s what happened with Mondale."
