statement_no,debate,night,speaker,speaker_type,timestamp,statement
0,10,1,,other,00:16,"Good evening and welcome, the Democratic presidential primary here in South Carolina. The first primary in the South is just four days away."
1,10,1,,other,00:24,And Super Tuesday is just a week away and this is the biggest primary day of the year as voters in 14 states cast ballots and many of them tell us they have not actually made up their mind. So this debate when you think about it tonight may be the last best chance for the candidates to make their case to South Carolina and Super Tuesday voters.
2,10,1,,other,00:46,"And CBS News is proud to bring you this debate along with our co-sponsors. They are the Democratic National Committee and the Congressional Black Caucus Institute, a nonpartisan organization committed to educating voters and training political leaders."
3,10,1,,other,01:00,"And we are partnering tonight also with Twitter. So you at home can participate in this debate. How do you do that? Send us your questions for the candidates using the Twitter hashtag, DemDebate."
4,10,1,,other,01:10,"Now, here are the rules for the next two hours. When you were asked a question, you will have one minute and 15 seconds to answer and 45 seconds for followups. So let’s begin. Senator Sanders, we haven’t had a national unemployment rate this low for this long in 50 years. Here in South Carolina, the unemployment rate is even lower. How will you convince voters that a democratic socialist can do better than President Trump with the economy?"
5,10,1,Sanders,candidate,01:41,"Well, you’re right, the economy is doing really great for people like Mr. Bloomberg and other billionaires. In the last three years, last three years, billionaires in this country saw an $850 billion increase in their wealth. But you know what, for the ordinary American things are not so good. Last year, real wage increases for the average worker were less than one percent. Half of our people are living paycheck to paycheck. 87 million Americans have no health insurance or are under-insured. 45 million people are struggling with student debt. 500,000 people tonight are sleeping out on the street, including 30,000 veterans. That is not an economy that’s working for the American people. That’s an economy working for the one percent. We’re going to create an economy for all, not just wealthy campaign contributors."
6,10,1,,other,02:40,Senator-
7,10,1,,other,02:45,"Mayor Bloomberg, I’ll let you respond to that. Do you think Senator Sanders’ economy would be better for America than President Trump?"
8,10,1,,other,02:50,I think that Donald Trump thinks it would be better if he’s president. I do not think so. Vladimir Putin thinks that Donald Trump should be President of the United States. And that’s why Russia is helping you get elected so you lose to him.
9,10,1,Sanders,candidate,03:09,"Oh, Mr. Bloomberg. Let me tell Mr. Putin. Okay, I’m not a good friend of President Xi of China. I think President Xi is an authoritarian leader. And let me tell Mr. Putin who interfered in the 2016 election, try to bring Americans against Americans. Hey, Mr. Putin, if I’m President of the United States, trust me you’re not going to interfere in anymore American elections."
10,10,1,,other,03:36,Senator Warren.
11,10,1,Buttigieg,candidate,03:37,"We know what the President … what Russia wants, it’s chaos."
