statement_no,debate,night,speaker,speaker_type,timestamp,statement
0,1,2,Guthrie,proctor,00:00,Senator Sanders. Good evening to you.
1,1,2,Guthrie,proctor,00:03,"You’ve called for big new government benefits, like universal healthcare and free college. In a recent interview you said you suspected that Americans would be “delighted” to pay more taxes for things like that. My question to you is, will taxes go up for the middle class in a Sanders administration, and if so, how do you sell that to voters?"
2,1,2,Sanders,candidate,00:24,"Okay. Well, you’re quite right. We have a new vision for America. And at a time when we have three people in this country owning more wealth than the bottom half of America, while 500,000 people are sleeping out on the streets today, we think it is time for change, real change. And by that I mean that healthcare, in my view, is a human right and we have got to pass a Medicare for All, single payer system."
3,1,2,Sanders,candidate,00:55,"Under that system, by the way, vast majority of the people in this country will be paying significantly less for healthcare than they are right now."
4,1,2,Sanders,candidate,01:06,"I believe that education is the future for this country, and that is why I believe that we must make public colleges and universities tuition free and eliminate student debt, and we do that by placing a tax on Wall Street."
5,1,2,Sanders,candidate,01:25,Every proposal that I have brought forth is fully paid for.
6,1,2,Guthrie,proctor,01:30,"Senator Sanders, I’ll give you 10 seconds just to answer the very direct question. Will you raise taxes for the middle class in a Sanders administration?"
7,1,2,Sanders,candidate,01:39,"People who have healthcare on the Medicare for All will have no premiums, no deductibles, no co-payments, no out-of-pocket expenses. Yes, they will pay more taxes but less in healthcare for what they get."
8,1,2,Guthrie,proctor,01:53,Thank you Senator.
9,1,2,Bennet,candidate,01:56,"Senator Sanders, [crosstalk 00:01:56]."
10,1,2,Guthrie,proctor,01:57,"Senator. Senator Bennett, we’re going to get to everybody, I promise, but let me just-"
11,1,2,Speaker 1,Other,01:59,"No, I’d like to say some-"
12,1,2,Guthrie,proctor,02:00,Senator Biden … Promise everybody’s going to get in here. Promise.
13,1,2,Guthrie,proctor,02:04,"Vice President Biden, Senator Sanders, as you know, has been calling for a revolution. Recently in remarks to a group of wealthy donors, as you were speaking about the problem of income inequality in this country, you said we shouldn’t “demonize the rich.” You said nobody has to be punished, no one’s standard of living would change, nothing would fundamentally change. What did you mean by that?"
14,1,2,Biden,candidate,02:27,"What I meant by that is, look, Donald Trump thinks Wall Street built America. Ordinary middle class Americans built American. My dad used to have an expression. He said, “Joe, a job is about a lot more than a paycheck. It’s about your dignity. It’s about respect. It’s being able to look your kid in the eye and say everything’s going to be okay.”"
15,1,2,Biden,candidate,02:44,"Too many people who are in the middle class and poor, have had the bottom fall out under this proposal. What I’m saying is that we’ve got to be straight forward. We have to make sure we understand that to return dignity to the middle class, they have to have insurance that is covered and they can afford it. They have to make sure that we are in a situation where there’s continuing education and they’re able to pay for it, and they have to make sure that they’re able to breathe air that is clean and they have water that they can drink."
16,1,2,Biden,candidate,03:12,"Look, Donald Trump has put us in a horrible situation, we do have enormous income inequality. The one thing I agree on is we can make massive cuts in the $1.6 trillion in tax loopholes out there, and I would be going about eliminating Donald Trump’s tax cuts for the wealthy."
17,1,2,Guthrie,proctor,03:31,"Vice President Biden, thank you."
18,1,2,Guthrie,proctor,03:33,"Senator Harris, there’s a lot talk in this primary about new government benefits, such as student loan cancellation, free college, healthcare, and more. Do you think that Democrats have a responsibility to explain how they will pay for every proposal they make along those lines?"
19,1,2,Harris,candidate,03:52,"Well, let me tell you something. I hear that question, but where was that question when the Republicans and Donald Trump passed a tax bill that benefits the top 1%, and the biggest corporations in this country, contributing at least $1 trillion to the debt of America, which middle class families will pay for one way or another."
20,1,2,Harris,candidate,04:12,"Working families need support and need to be lifted up, and frankly, this economy is not working for working people. For too long, the rules have been written in the favor of the people who have the most, and not in favor of the people who work the most, which is why I am proposing that we change the tax code."
21,1,2,Harris,candidate,04:31,"So for every family that is making less than $100,000 a year, they will receive a tax credit that they can collect $500 a month, which will make all the difference between those families being able to get through the end of the month with dignity and with support, or not. And on day one, I will repeal that tax bill that benefits the top 1%, and the biggest corporations of America."
22,1,2,Guthrie,proctor,04:50,"Senator Harris, thank you."
23,1,2,Guthrie,proctor,04:54,"Governor Hickenlooper, let me get you in on this. You’ve warned that Democrats will lose in 2020 if they embrace socialism, as you put it. You were booed at the California Democratic Convention when you said that. Only one candidate on this stage, Senator Sanders, identifies himself as a Democratic socialist. What are the policies or positions of your opponents that you think are veering towards socialism?"
24,1,2,Hickenlooper,candidate,05:18,"Well, I think that the bottom line is if we don’t clearly define that we are not socialists, the Republicans are going to come at us every way they can and call us socialists, and if you look at the Green New Deal, which I admire the sense of urgency and how important it is to do climate change, I’m a scientist, but we can’t promise every American a government job. If you want to get universal healthcare coverage, I believe that healthcare is a right and not a privilege, but you can’t expect to eliminate private insurance for 180 million people, many of whom don’t want to give it up."
25,1,2,Hickenlooper,candidate,05:51,"In Colorado, we brought businesses and nonprofits together. We got near universal healthcare coverage. We were the first state in America to bring the environmental community and the oil and gas industry to address, aggressively address, methane emissions, and we were also the first place to expand reproductive rights on a scale basis and we reduced teen pregnancy by 54%. We’ve done the big progressive things that people said couldn’t be done. I’ve done what pretty much everyone else up here is still talking about doing."
26,1,2,Guthrie,proctor,06:20,"All right Governor, thank you."
27,1,2,Guthrie,proctor,06:21,"Senator Sanders, I’ll give you a chance to weigh in here. What is your response to those who say nominating a socialist would re-elect Donald Trump?"
28,1,2,Sanders,candidate,06:30,"Well, I think the responses at the polls, the last poll I saw has us 10 points ahead of Donald Trump because the American people understand that Trump is a phony, that Trump is a pathological liar and a racist, and that he lied to the American people during his campaign."
29,1,2,Sanders,candidate,06:53,"He said he was going to stand up for working families, well President Trump, you’re not standing up for working families when you try to throw 32 million people off their healthcare that they have, and that 83% of your tax benefits go to the top 1%. That’s how we beat Trump. We expose him for the fraud that he is."
30,1,2,Gillibrand,candidate,07:12,In answer-
31,1,2,Guthrie,proctor,07:13,Senator.
32,1,2,Gillibrand,candidate,07:18,I want to talk about-
33,1,2,Guthrie,proctor,07:18,"Senator Gillibrand, 30 seconds."
34,1,2,Gillibrand,candidate,07:19,"I disagree with both their perspectives. The debate we’re having in our party right now is confusing, because the truth is there’s a big difference between capitalism on the one hand, and greed on the other. And so all the things that we’re trying to change is when companies care more about profits when they do about people."
35,1,2,Gillibrand,candidate,07:38,"If you’re talking about ending gun violence, it’s the greed of the NRA and the gun manufacturers that make any progress possible. It’s the greed of the insurance companies and the drug companies, when we want to try to get healthcare as a right and not a privilege."
36,1,2,Guthrie,proctor,07:54,"Senator Gillibrand, thank you."
37,1,2,Gillibrand,candidate,07:55,"So there need not be disagreement in the party, because in truth, we want healthy capitalism."
38,1,2,Guthrie,proctor,07:59,"Senator, thank you."
39,1,2,Gillibrand,candidate,07:59,We don’t want corrupted capitalism-
40,1,2,Guthrie,proctor,08:01,"Thank you, I want to be fair to all the candidates."
41,1,2,Gillibrand,candidate,08:02,… which is the definition of greed.
42,1,2,Guthrie,proctor,08:02,Thank you.
43,1,2,Guthrie,proctor,08:03,"Senator Bennett, you have said, “It’s possible to write policy proposals that have no basis in reality, you might as well call them candy.” Were you referring to any candidate or proposal in particular when you said that?"
44,1,2,Bennet,candidate,08:16,Was that directed to me?
45,1,2,Guthrie,proctor,08:16,"Yes, that was your quote."
